"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 20-Mar-2026"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"SBIN","EQ","   1234.70","24-FEB-2026","    730.00","07-APR-2025"
"SBINEQINAV","EQ","-","-","-","-"
"SBINEQWETF","EQ","     35.00","16-FEB-2026","     27.30","07-APR-2025"
"SBISILINAV","EQ","-","-","-","-"
"SBISILVER","EQ","    362.00","29-JAN-2026","     86.00","07-APR-2025"
"SCHAEFFLER","EQ","   4467.70","06-MAR-2026","   2823.00","07-APR-2025"
"SCHAND","EQ","    257.90","19-JUN-2025","    138.48","30-DEC-2025"
"SCHNEIDER","BE","   1052.00","05-AUG-2025","    540.00","09-MAY-2025"
"SCI","EQ","    280.50","24-OCT-2025","    147.00","07-APR-2025"
"SCILAL","EQ","     60.34","13-JUN-2025","     40.64","16-MAR-2026"
"SCML","SM","    159.50","08-DEC-2025","     68.05","17-SEP-2025"
"SCODATUBES","EQ","    230.85","14-JUL-2025","    110.00","16-MAR-2026"
"SCPL","BE","    368.95","23-APR-2025","    190.03","09-DEC-2025"
"SDBL","EQ","    173.03","27-JUN-2025","     70.50","16-MAR-2026"
"SDL26BEES","EQ","    143.99","29-DEC-2025","    124.95","07-APR-2025"
"SDL26BINAV","EQ","-","-","-","-"
"SDREAMS","SM","    147.00","17-JUN-2025","     73.00","31-DEC-2025"
"SEAMECLTD","EQ","   1446.70","17-FEB-2026","    752.55","06-AUG-2025"
"SECMARK","EQ","    174.63","23-MAY-2025","     75.00","07-APR-2025"
"SECURKLOUD","EQ","     34.18","24-NOV-2025","     16.01","17-NOV-2025"
"SEDEMAC","EQ","   1613.50","11-MAR-2026","   1413.10","12-MAR-2026"
"SEITINVIT","IV","    125.00","30-JAN-2026","    108.00","14-AUG-2025"
"SEJALLTD","EQ","   1036.70","28-OCT-2025","    324.00","07-APR-2025"
"SEL","SM","    337.10","15-MAY-2025","    131.00","19-MAR-2026"
"SELECTIPO","EQ","     57.75","14-AUG-2025","     35.40","07-APR-2025"
"SELIPOINAV","EQ","-","-","-","-"
"SELLOWRAP","SM","    139.65","29-AUG-2025","     64.15","23-FEB-2026"
"SELMC","EQ","     48.77","30-APR-2025","     26.00","28-MAR-2025"
"SEMAC","EQ","    568.90","28-JUL-2025","    205.00","09-MAR-2026"
"SENCO","EQ","    405.70","24-APR-2025","    262.00","19-MAR-2025"
"SENORES","EQ","    876.50","07-JAN-2026","    440.30","07-APR-2025"
"SENSEXADD","EQ","     88.20","01-DEC-2025","     72.00","07-APR-2025"
"SENSEXBETA","EQ","    952.91","30-DEC-2025","    779.95","07-APR-2025"
"SENSEXETF","EQ","     88.70","06-JAN-2026","     72.01","07-APR-2025"
"SENSEXIETF","EQ","    999.84","25-NOV-2025","    812.04","07-APR-2025"
"SENSEXINAV","EQ","-","-","-","-"
"SEPC","EQ","     15.93","24-MAR-2025","      4.78","17-MAR-2026"
"SERVICE","ST","     69.90","21-APR-2025","     39.20","18-DEC-2025"
"SERVOTECH","EQ","    168.50","04-JUN-2025","     57.51","30-JAN-2026"
"SESHAPAPER","EQ","    318.00","23-JUN-2025","    211.59","27-JAN-2026"
"SETCO","EQ","     21.68","27-MAR-2025","     11.56","29-JAN-2026"
"SETF10GILT","EQ","    266.10","17-MAR-2026","    246.56","20-MAR-2025"
"SETF10INAV","EQ","-","-","-","-"
"SETF50INAV","EQ","-","-","-","-"
"SETFGOINAV","EQ","-","-","-","-"
"SETFGOLD","EQ","    153.95","28-JAN-2026","     64.96","07-APR-2025"
"SETFNIF50","EQ","    287.33","06-JAN-2026","    227.33","07-APR-2025"
"SETFNIFBK","EQ","    646.11","19-FEB-2026","    465.64","15-OCT-2025"
"SETFNIINAV","EQ","-","-","-","-"
"SETFNN50","EQ","    840.00","30-JAN-2026","    585.51","07-APR-2025"
"SETFNNINAV","EQ","-","-","-","-"
"SETL","EQ","    203.95","17-SEP-2025","    110.17","02-FEB-2026"
"SETUINFRA","BZ","      1.12","19-JUN-2025","       .37","21-JAN-2026"
"SEYAIND","BE","     23.99","06-NOV-2025","      8.54","11-MAR-2026"
"SFL","EQ","    779.00","21-MAR-2025","    497.95","30-JAN-2026"
"SFML","SM","     43.50","27-OCT-2025","     22.50","17-MAR-2026"
"SGFIN","EQ","    452.80","07-JAN-2026","    323.00","02-FEB-2026"
"SGIL","EQ","    633.25","08-SEP-2025","    377.10","07-APR-2025"
"SGL","EQ","     20.79","23-SEP-2025","     10.04","07-APR-2025"
"SGMART","EQ","    479.10","27-FEB-2026","    313.10","21-JAN-2026"
"SHADOWFAX","EQ","    127.75","13-FEB-2026","     98.55","30-JAN-2026"
"SHAH","EQ","      5.55","07-JAN-2026","      2.80","28-MAR-2025"
"SHAHALLOYS","EQ","     83.85","06-NOV-2025","     44.20","26-MAR-2025"
"SHAILY","EQ","   2799.90","17-NOV-2025","   1372.65","07-APR-2025"
"SHAIVAL","ST","     32.00","19-MAR-2026","     32.00","19-MAR-2026"
"SHAKTIPUMP","EQ","   1049.00","17-JUN-2025","    460.00","02-MAR-2026"
"SHALBY","EQ","    274.70","22-SEP-2025","    137.82","19-MAR-2026"
"SHALPAINTS","EQ","    119.20","21-APR-2025","     45.10","19-MAR-2026"
"SHANKARA","EQ","   1209.80","31-JUL-2025","     98.25","25-FEB-2026"
"SHANTHALA","SM","     46.90","19-AUG-2025","     21.50","20-MAR-2025"
"SHANTI","EQ","     23.87","02-JUN-2025","      5.77","18-MAR-2026"
"SHANTIGEAR","EQ","    619.80","24-JUL-2025","    395.00","22-JAN-2026"
"SHANTIGOLD","EQ","    274.10","21-AUG-2025","    178.20","16-MAR-2026"
"SHARDACROP","EQ","   1297.00","13-FEB-2026","    452.25","09-APR-2025"
"SHARDAMOTR","EQ","   1248.00","07-JUL-2025","    625.00","07-APR-2025"
"SHAREINDIA","EQ","    211.00","20-OCT-2025","    122.13","19-MAR-2026"
"SHARIABEES","EQ","    537.63","02-JUL-2025","    440.11","19-MAR-2026"
"SHARIBENAV","EQ","-","-","-","-"
"SHEEL","SM","     95.55","08-OCT-2025","     48.50","19-MAR-2026"
"SHEETAL","ST","    264.95","18-FEB-2026","     82.75","07-APR-2025"
"SHEKHAWATI","EQ","     26.84","20-MAY-2025","     11.36","09-MAR-2026"
"SHEMAROO","EQ","    161.00","01-JUL-2025","     90.20","28-MAR-2025"
"SHERA","SM","    172.90","08-MAY-2025","    105.10","16-MAR-2026"
"SHETHJI","SM","    123.65","26-NOV-2025","     95.50","14-NOV-2025"
"SHIGAN","ST","     95.00","19-AUG-2025","     41.20","22-DEC-2025"
"SHILCTECH","EQ","   4350.00","24-NOV-2025","   2852.50","27-JAN-2026"
"SHILPAMED","EQ","    500.00","16-JUN-2025","    259.50","27-JAN-2026"
"SHIVALIK","EQ","    698.05","03-APR-2025","    241.05","19-MAR-2026"
"SHIVAMAUTO","EQ","     35.79","18-SEP-2025","     15.00","17-MAR-2026"
"SHIVAMILLS","EQ","     88.32","28-APR-2025","     51.19","27-JAN-2026"
"SHIVASHRIT","SM","    148.50","01-SEP-2025","    109.00","02-FEB-2026"
"SHIVATEX","EQ","    237.90","22-MAY-2025","    135.00","18-MAR-2026"
"SHIVAUM","EQ","    360.55","06-JAN-2026","    260.00","22-MAY-2025"
"SHK","EQ","    275.50","04-SEP-2025","    116.05","16-MAR-2026"
"SHKSIL","SM","     84.00","15-JUL-2025","     38.00","18-MAR-2026"
"SHOPERSTOP","EQ","    588.75","17-JUL-2025","    275.95","02-MAR-2026"
"SHRADHA","EQ","     71.98","10-JUN-2025","     30.50","16-MAR-2026"
"SHREDIGCEM","EQ","    107.70","25-AUG-2025","     59.27","16-MAR-2026"
"SHREECEM","EQ","  32490.00","23-JUL-2025","  22855.00","13-MAR-2026"
"SHREEJISPG","EQ","    421.95","18-FEB-2026","    222.00","09-OCT-2025"
"SHREEKARNI","SM","    712.00","30-SEP-2025","    335.15","16-MAR-2026"
"SHREEOSFM","SM","    145.35","23-APR-2025","     65.00","04-MAR-2026"
"SHREEPUSHK","EQ","    476.00","23-SEP-2025","    220.50","07-APR-2025"
"SHREERAMA","EQ","     71.99","02-JAN-2026","     31.05","12-MAY-2025"
"SHREMINVIT","IV","    115.00","30-MAY-2025","     91.10","05-MAR-2026"
"SHRENIK","BZ","       .77","21-APR-2025","       .37","21-JAN-2026"
"SHREYANIND","EQ","    250.00","24-JUL-2025","    130.37","16-MAR-2026"
"SHRIAHIMSA","SM","    283.00","09-FEB-2026","    126.50","09-APR-2025"
"SHRIKANHA","SM","     88.00","10-DEC-2025","     20.20","16-MAR-2026"
"SHRINGARMS","EQ","    266.50","19-FEB-2026","    177.51","30-SEP-2025"
"SHRIPISTON","EQ","   3407.20","07-JAN-2026","   1662.55","07-APR-2025"
"SHRIRAMFIN","EQ","   1108.00","26-FEB-2026","    566.50","29-AUG-2025"
"SHRIRAMPPS","EQ","    105.58","25-JUN-2025","     65.10","07-APR-2025"
"SHRITECH","SM","     95.50","20-JUN-2025","     51.35","30-JAN-2026"
"SHUBHLAXMI","ST","     40.00","26-DEC-2025","     13.35","26-AUG-2025"
"SHUBHSHREE","SM","    494.95","20-AUG-2025","    279.75","09-APR-2025"
"SHYAMCENT","EQ","     10.42","20-MAY-2025","      4.36","17-MAR-2026"
"SHYAMDHANI","SM","    139.65","30-DEC-2025","     60.00","19-MAR-2026"
"SHYAMMETL","EQ","   1001.00","31-JUL-2025","    745.00","07-APR-2025"
"SHYAMTEL","EQ","     19.74","20-JUN-2025","      7.07","18-MAR-2026"
"SICALLOG","BE","    103.33","14-JUL-2025","     62.00","02-MAR-2026"
"SIDDHICOTS","ST","     86.40","26-SEP-2025","     26.70","04-MAR-2026"
"SIDDHIKA","SM","    243.00","30-OCT-2025","    162.45","21-MAR-2025"
"SIEMENS","EQ","   5520.00","26-MAR-2025","   2450.00","07-APR-2025"
"SIGACHI","EQ","     59.59","16-JUN-2025","     18.25","09-MAR-2026"
"SIGIND","EQ","     81.00","03-JUN-2025","     42.10","19-MAR-2026"
"SIGMA","EQ","     65.50","03-OCT-2025","     21.01","07-APR-2025"
"SIGMAADV","EQ","    231.00","04-NOV-2025","     49.06","28-MAR-2025"
"SIGNATURE","EQ","   1309.50","12-JUN-2025","    761.00","19-MAR-2026"
"SIGNORIA","SM","    135.60","05-JUN-2025","     56.05","18-MAR-2026"
"SIGNPOST","EQ","    310.00","25-AUG-2025","    180.37","20-JUN-2025"
"SIKKO","EQ","      6.83","24-OCT-2025","      3.20","23-SEP-2025"
"SIL","EQ","     23.05","25-MAR-2025","     12.67","18-MAR-2026"
"SILBNDINAV","EQ","-","-","-","-"
"SILCASINAV","EQ","-","-","-","-"
"SILGO","EQ","     85.00","11-FEB-2026","     38.78","19-MAR-2025"
"SILINV","EQ","    767.00","17-OCT-2025","    392.05","12-MAR-2026"
"SILKFLEX","ST","    146.30","02-MAR-2026","     61.50","19-MAR-2025"
"SILKY","SM","    171.00","07-JUL-2025","    103.00","29-JUL-2025"
"SILLYMONKS","EQ","     28.45","06-NOV-2025","     13.45","28-MAR-2025"
"SILVER","EQ","    371.89","29-JAN-2026","     89.00","07-APR-2025"
"SILVER1","EQ","     38.80","29-JAN-2026","      8.59","07-APR-2025"
"SILVER360","EQ","    358.00","29-JAN-2026","     78.40","07-APR-2025"
"SILVERADD","EQ","    390.00","29-JAN-2026","     84.26","07-APR-2025"
"SILVERAG","EQ","    380.00","29-JAN-2026","     84.55","07-APR-2025"
"SILVERBEES","EQ","    360.00","29-JAN-2026","     77.55","07-APR-2025"
"SILVERBETA","EQ","    379.66","29-JAN-2026","     85.08","07-APR-2025"
"SILVERBND","EQ","    389.00","29-JAN-2026","    180.00","12-DEC-2025"
"SILVERCASE","EQ","     38.01","29-JAN-2026","      9.00","03-APR-2025"
"SILVERIETF","EQ","    373.50","29-JAN-2026","     88.80","07-APR-2025"
"SILVERINAV","EQ","-","-","-","-"
"SILVERTUC","EQ","    169.02","09-JAN-2026","     61.00","01-APR-2025"
"SIMBHALS","BZ","     20.15","16-JUN-2025","      6.91","19-MAR-2026"
"SIMPLEXINF","EQ","    342.45","21-APR-2025","    160.62","16-MAR-2026"
"SINCLAIR","EQ","    114.75","11-SEP-2025","     68.82","16-MAR-2026"
"SINDHUTRAD","EQ","     39.29","07-JUL-2025","     14.57","28-MAR-2025"
"SINGERIND","EQ","     75.79","19-MAR-2026","     69.01","19-MAR-2026"
"SINTERCOM","EQ","    153.84","18-JUL-2025","     72.00","16-MAR-2026"
"SIRCA","EQ","    539.00","19-NOV-2025","    230.69","07-APR-2025"
"SIS","EQ","    401.85","31-JUL-2025","    271.55","17-MAR-2026"
"SITINET","BZ","       .58","29-JUL-2025","       .31","28-JAN-2026"
"SIYSIL","EQ","    848.80","04-NOV-2025","    467.40","16-MAR-2026"
"SJLOGISTIC","SM","    585.00","24-APR-2025","    246.30","17-MAR-2026"
"SJS","EQ","   1930.00","19-FEB-2026","    811.00","07-APR-2025"
"SJVN","EQ","    107.50","19-MAY-2025","     67.85","04-MAR-2026"
"SKFINDIA","EQ","   5074.00","14-OCT-2025","   1547.40","16-MAR-2026"
"SKFINDUS","EQ","   2766.00","30-JAN-2026","   2119.50","13-MAR-2026"
"SKIPPER","EQ","    588.00","08-SEP-2025","    327.05","09-MAR-2026"
"SKMEGGPROD","EQ","    232.50","03-NOV-2025","     77.00","07-APR-2025"
"SKP","SM","    263.00","20-MAR-2025","    146.00","16-MAR-2026"
"SKYGOLD","EQ","    400.95","30-MAY-2025","    246.05","06-AUG-2025"
"SLONE","SM","    371.45","27-OCT-2025","    170.05","18-FEB-2026"
"SMAADDINAV","EQ","-","-","-","-"
"SMACAPINAV","EQ","-","-","-","-"
"SMALL250","EQ","     18.89","20-JAN-2026","     14.54","16-MAR-2026"
"SMALLADD","EQ","     17.15","05-JAN-2026","     14.56","16-MAR-2026"
"SMALLCAP","EQ","     54.50","23-OCT-2025","     38.04","07-APR-2025"
"SMARTEN","SM","    157.95","25-JUL-2025","     51.10","18-MAR-2026"
"SMARTLINK","EQ","    173.49","06-JUN-2025","    112.97","09-MAR-2026"
"SMARTWORKS","EQ","    619.00","04-NOV-2025","    370.00","09-MAR-2026"
"SMCGLOBAL","EQ","     94.90","02-JAN-2026","     50.50","07-APR-2025"
"SML100CASE","EQ","     11.08","09-JAN-2026","      8.75","16-MAR-2026"
"SML100INAV","EQ","-","-","-","-"
"SMLMAH","EQ","   5348.00","18-FEB-2026","   1145.00","19-MAR-2025"
"SMLT","EQ","    140.00","03-JUN-2025","     62.20","02-MAR-2026"
"SMSPHARMA","EQ","    433.90","11-MAR-2026","    188.00","07-APR-2025"
"SMVD","ST","     21.70","29-MAY-2025","      5.60","23-OCT-2025"
"SNEHAA","SM","    122.00","05-SEP-2025","     38.20","19-MAR-2026"
"SNOWMAN","EQ","     64.40","11-JUN-2025","     33.50","16-MAR-2026"
"SNXT30BEES","EQ","     42.50","24-FEB-2026","     37.03","19-JUN-2025"
"SNXT30INAV","EQ","-","-","-","-"
"SNXT50BETA","EQ","    102.25","17-SEP-2025","     75.74","07-APR-2025"
"SOBHA","EQ","   1732.50","22-JUL-2025","   1075.30","07-APR-2025"
"SOCL","SM","     68.80","30-DEC-2025","     24.30","26-FEB-2026"
"SOFTTECH","EQ","    421.00","22-APR-2025","    248.00","16-MAR-2026"
"SOLARA","EQ","    734.40","25-JUL-2025","    425.00","16-MAR-2026"
"SOLARINDS","EQ","  17820.00","30-JUN-2025","   9888.40","07-APR-2025"
"SOLARWORLD","EQ","    388.50","30-SEP-2025","    148.15","16-MAR-2026"
"SOLEX","EQ","   1985.00","21-NOV-2025","    630.90","01-APR-2025"
"SOMANYCERA","EQ","    624.00","10-JUN-2025","    332.00","10-MAR-2026"
"SOMATEX","BE","    161.25","06-NOV-2025","     35.82","26-MAR-2025"
"SOMICONVEY","EQ","    207.02","15-APR-2025","     85.50","03-FEB-2026"
"SONACOMS","EQ","    559.50","26-MAY-2025","    380.00","07-APR-2025"
"SONAMAC","SM","    108.90","24-APR-2025","     31.05","19-MAR-2026"
"SONAMLTD","EQ","     62.35","12-MAR-2026","     37.00","07-MAY-2025"
"SONATSOFTW","EQ","    464.20","02-MAY-2025","    229.30","17-MAR-2026"
"SONUINFRA","SM","    145.00","27-MAY-2025","     46.15","17-MAR-2026"
"SOTAC","SM","    152.35","01-JUL-2025","    100.00","16-JAN-2026"
"SOTL","EQ","    477.65","07-AUG-2025","    318.05","16-MAR-2026"
"SOUTHBANK","EQ","     46.84","22-JAN-2026","     22.30","07-APR-2025"
"SOUTHWEST","EQ","    242.00","01-DEC-2025","    100.00","07-APR-2025"
"SPAL","EQ","    945.00","08-MAY-2025","    600.00","20-JAN-2026"
"SPANDANA","EQ","    331.71","22-APR-2025","    183.81","07-APR-2025"
"SPARC","EQ","    204.40","02-JUN-2025","    111.55","16-MAR-2026"
"SPCENET","EQ","     11.24","28-OCT-2025","      3.38","16-MAR-2026"
"SPCL","SM","    139.20","13-MAY-2025","     70.10","16-MAR-2026"
"SPCON","ST","    106.05","17-MAR-2026","     99.00","18-MAR-2026"
"SPEB","SM","     60.00","08-DEC-2025","     46.55","01-JAN-2026"
"SPECIALITY","EQ","    156.45","24-MAR-2025","     91.22","16-MAR-2026"
"SPECTRUM","EQ","   2249.95","28-MAR-2025","   1050.00","12-JAN-2026"
"SPECTSTM","SM","    172.80","01-APR-2025","     62.10","19-MAR-2026"
"SPENCERS","EQ","     71.99","24-APR-2025","     28.63","18-MAR-2026"
"SPIC","EQ","    128.20","03-SEP-2025","     58.62","09-MAR-2026"
"SPLIL","EQ","     46.40","02-JUL-2025","     24.00","16-MAR-2026"
"SPLPETRO","EQ","    979.00","29-SEP-2025","    462.30","21-JAN-2026"
"SPMLINFRA","EQ","    323.40","01-AUG-2025","    151.15","27-MAR-2025"
"SPORTKING","EQ","    140.00","23-JUL-2025","     76.00","28-MAR-2025"
"SPPPOLY","SM","     21.25","19-MAR-2025","     12.10","19-MAR-2026"
"SPRL","SM","    199.40","27-OCT-2025","    101.65","24-FEB-2026"
"SPUNWEB","SM","    173.55","16-SEP-2025","     80.00","19-MAR-2026"
"SRD","EQ","     91.00","02-SEP-2025","     39.15","04-MAR-2026"
"SREEL","EQ","    262.00","20-MAY-2025","    182.30","19-MAR-2026"
"SRF","EQ","   3325.00","10-JUL-2025","   2425.90","16-MAR-2026"
"SRGHFL","EQ","    353.95","25-APR-2025","    243.85","10-MAR-2026"
