NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
Banswara Syntex Limited,34232084,18575786,54.26,15656298,0,0,0,,10/7/24 11:30,1277776,33899192,3.77,,10/7/24 11:30
Barak Valley Cements Limited,22160000,12259558,55.32,9900442,0,0,0,,10/7/24 11:30,113705,21537994,0.53,,10/7/24 11:30
Barbeque Nation Hospitality Limited,39072071,13170991,33.71,25901080,86113,0.65,0.22,,10/7/24 11:30,980716,39072942,2.51,,10/7/24 11:30
Bata India Limited,128527540,64465514,50.16,64062026,0,0,0,,10/7/24 11:30,1565906,127997202,1.22,,10/7/24 11:30
Bcl Industries Limited,295163340,175546610,59.47,119616730,7536340,4.29,2.55,,10/7/24 11:30,19278536,293010140,6.58,,10/7/24 11:30
Beardsell Limited,39437000,22124551,56.1,17312449,0,0,0,,10/7/24 11:30,232570,37420742,0.62,,10/7/24 11:30
Bedmutha Industries Limited,32263884,18405196,57.05,13858688,17496105,95.06,54.23,,10/7/24 11:30,17910239,32247884,55.54,,10/7/24 11:30
Berger Paints (I) Limited,1165796049,874229436,74.99,291566613,0,0,0,,10/7/24 11:30,3914294,1161962202,0.34,,10/7/24 11:30
Bhagyanagar India Limited,31995000,22922924,71.65,9072076,0,0,0,,10/7/24 11:30,505788,31899786,1.59,,10/7/24 11:30
Bhansali Engineering Polymers Limited,248858460,143024997,57.47,105833463,0,0,0,,10/7/24 11:30,17182209,246593550,6.97,,10/7/24 11:30
Bharat Bijlee Limited,11303120,3807498,33.69,7495622,0,0,0,,10/7/24 11:30,893641,11224892,7.96,,10/7/24 11:30
Bharat Electronics Limited,7309778829,3737921934,51.14,3571856895,0,0,0,,10/7/24 11:30,134039388,7309197897,1.83,,10/7/24 11:30
Bharat Forge Limited,465588632,210691674,45.25,254896958,0,0,0,,10/7/24 11:30,3797077,452586938,0.84,,10/7/24 11:30
Bharat Gears Limited,15355058,8494410,55.32,6860648,0,0,0,,10/7/24 11:30,366842,15262980,2.4,,10/7/24 11:30
Bharat Heavy Electricals Limited,3482063355,2199650402,63.17,1282412953,0,0,0,,10/7/24 11:30,74922665,3481260723,2.15,,10/7/24 11:30
Bharat Petroleum Corporation Limited,4338505488,2298367184,52.98,2040138304,0,0,0,,10/7/24 11:30,32721891,4317576092,0.76,,10/7/24 11:30
Bharat Rasayan Limited,4155268,3116060,74.99,1039208,0,0,0,,10/7/24 11:30,64954,4104919,1.58,,10/7/24 11:30
Bharat Road Network Limited,83950000,43738461,52.1,40211539,9999400,22.86,11.91,,10/7/24 11:30,24360821,83950000,29.02,,10/7/24 11:30
Bharat Wire Ropes Limited,68362895,28017509,40.98,40345386,13814250,49.31,20.21,,10/7/24 11:30,24043419,68448880,35.13,,10/7/24 11:30
Bharati Defence and Infrastructure Limited,50298942,20412281,40.58,29886661,20412281,100,40.58,,10/7/24 11:30,21106989,50297161,41.96,,10/7/24 11:30
Bharatiya Global Infomedia Limited,15843110,7677604,48.46,8165506,5059335,65.9,31.93,,10/7/24 11:30,256112,15131350,1.69,,10/7/24 11:30
Bharti Airtel Limited,6083160811,3237891859,53.23,2845268952,0,0,0,,10/7/24 11:30,23132329,5693153151,0.41,,10/7/24 11:30
Bhartiya International Limited,12209411,7001649,57.35,5207762,0,0,0,,10/7/24 11:30,1006147,12170913,8.27,,10/7/24 11:30
Bigbloc Construction Limited,70787875,51265709,72.42,19522166,0,0,0,,10/7/24 11:30,2081899,141521250,1.47,,10/7/24 11:30
Bil Energy Systems Limited,211416000,98931240,46.79,112484760,64299720,64.99,30.41,,10/7/24 11:30,65632891,210631140,31.16,,10/7/24 11:30
Binani Industries Limited,31366175,16503654,52.62,14862521,0,0,0,,10/7/24 11:30,348808,29964727,1.16,,10/7/24 11:30
Biocon Limited,1200600000,731370546,60.92,469229454,0,0,0,,10/7/24 11:30,34498552,1199928950,2.88,,10/7/24 11:30
Biofil Chemicals & Pharmaceuticals Limited,16273800,7618760,46.82,8655040,0,0,0,,10/7/24 11:30,437527,15416400,2.84,,10/7/24 11:30
Birla Cable Limited,30000000,19905743,66.35,10094257,1250000,6.28,4.17,,10/7/24 11:30,2076730,29371158,7.07,,10/7/24 11:30
Birla Corporation Limited,77005347,48434191,62.9,28571156,0,0,0,,10/7/24 11:30,1691869,76812090,2.2,,10/7/24 11:30
Bkm Industries Limited,65534050,24602535,37.54,40931515,2300000,9.35,3.51,,10/7/24 11:30,3267183,65532948,4.99,,10/7/24 11:30
Black Box Limited,168075090,119441430,71.06,48633660,10660175,8.93,6.34,,10/7/24 11:30,14432963,166852660,8.65,,10/7/24 11:30
Bliss GVS Pharma Limited,104882572,36607174,34.9,68275398,0,0,0,,10/7/24 11:30,2786692,103633750,2.69,,10/7/24 11:30
Blue Blends (I) Limited,21651213,11509470,53.16,10141743,11480000,99.74,53.02,,10/7/24 11:30,11623144,19632395,59.2,,10/7/24 11:30
Blue Chip India Limited,55304340,6220270,11.25,49084070,0,0,0,,10/7/24 11:30,202755,54979608,0.37,,10/7/24 11:30
Blue Coast Hotels Limited,12748457,7826495,61.39,4921962,55442,0.71,0.43,,10/7/24 11:30,9878,12676094,0.08,,10/7/24 11:30
Blue Dart Express Limited,23727934,17795950,75,5931984,0,0,0,,10/7/24 11:30,147906,23696329,0.62,,10/7/24 11:30
Blue Star Limited,205614788,75088874,36.52,130525914,0,0,0,,10/7/24 11:30,1708735,204694163,0.83,,10/7/24 11:30
Bodal Chemicals Limited,125789565,72195662,57.39,53593903,0,0,0,,10/7/24 11:30,8192013,125539755,6.53,,10/7/24 11:30
Bohra Industries Limited,14297152,3879012,27.13,10418140,370000,9.54,2.59,,10/7/24 11:30,749782,14297152,5.24,,10/7/24 11:30
Bombay Burmah Trading Corporation Limited,69771900,51663045,74.05,18108855,0,0,0,,10/7/24 11:30,1099434,69062490,1.59,,10/7/24 11:30
Bombay Dyeing & Mfg Company Limited,206534900,110658618,53.58,95876282,0,0,0,,10/7/24 11:30,24042794,205205462,11.72,,10/7/24 11:30
Bombay Rayon Fashions Limited,317476479,81082396,25.54,236394083,30868329,38.07,9.72,,10/7/24 11:30,33020593,317472172,10.4,,10/7/24 11:30
Bosch Limited,29493640,20805224,70.54,8688416,0,0,0,,10/7/24 11:30,114009,29422267,0.39,,10/7/24 11:30
Bpl Limited,48975751,30916792,63.13,18058959,0,0,0,,10/7/24 11:30,1109438,48468026,2.29,,10/7/24 11:30
Brand Concepts Limited,11132800,5422544,48.71,5710256,0,0,0,,10/7/24 11:30,76861,11217800,0.69,,10/7/24 11:30
Brigade Enterprises Limited,231135801,101042777,43.72,130093024,0,0,0,,10/7/24 11:30,544864,244224242,0.22,,10/7/24 11:30
Brightcom Group Limited,2018521873,370993848,18.38,1647528025,9262114,2.5,0.46,,10/7/24 11:30,46461656,2016323823,2.3,,10/7/24 11:30
Britannia Industries Limited,240868296,121752892,50.55,119115404,0,0,0,,10/7/24 11:30,1560815,239649206,0.65,,10/7/24 11:30
Brooks Laboratories Limited,26246738,16690707,63.59,9556031,0,0,0,,10/7/24 11:30,471784,26245038,1.8,,10/7/24 11:30
Burnpur Cement Limited,86124363,1701147,1.98,84423216,0,0,0,,10/7/24 11:30,1654720,86115319,1.92,,10/7/24 11:30
Butterfly Gandhimathi Appliances Limited,17879551,13409663,75,4469888,0,0,0,,10/7/24 11:30,233902,17674071,1.32,,10/7/24 11:30
C & C Constructions Limited,25445265,8233087,32.36,17212178,6460858,78.47,25.39,,10/7/24 11:30,6806638,25431197,26.76,,10/7/24 11:30
CARE Ratings Limited,29877246,0,0,29877246,0,,0,,10/7/24 11:30,1827690,29899783,6.11,,10/7/24 11:30
CCL Products (India) Limited,133527920,61540392,46.09,71987528,0,0,0,,10/7/24 11:30,1994146,132891967,1.5,,10/7/24 11:30
CEAT Limited,40450092,19095398,47.21,21354694,0,0,0,,10/7/24 11:30,1245962,40163628,3.1,,10/7/24 11:30
CESC Limited,1325570430,690770560,52.11,634799870,0,0,0,,10/7/24 11:30,30403538,1318140460,2.31,,10/7/24 11:30
CG Power and Industrial Solutions Limited,1527871954,887567477,58.09,640304477,0,0,0,,10/7/24 11:30,37000682,1526450457,2.42,,10/7/24 11:30
CIE Automotive India Limited,379362377,249239013,65.7,130123364,0,0,0,,10/7/24 11:30,2684530,378240974,0.71,,10/7/24 11:30
CMI Limited,16027457,80001,0.5,15947456,0,0,0,,10/7/24 11:30,293898,15725911,1.87,,10/7/24 11:30
COSMO FIRST LIMITED,26249727,12169938,46.36,14079789,0,0,0,,10/7/24 11:30,1274224,25885405,4.92,,10/7/24 11:30
CRISIL Limited,73123836,48732586,66.64,24391250,0,0,0,,10/7/24 11:30,469189,73084598,0.64,,10/7/24 11:30
California Software Company Limited,15457106,5522972,35.73,9934134,0,0,0,,10/7/24 11:30,361364,15366097,2.35,,10/7/24 11:30
Cambridge Technology Enterprises Limited,19631015,9589937,48.85,10041078,0,0,0,,10/7/24 11:30,308549,18976226,1.63,,10/7/24 11:30
Camlin Fine Sciences Limited,167495207,80435769,48.02,87059438,10000000,12.43,5.97,,10/7/24 11:30,22098105,166880847,13.24,,10/7/24 11:30
Can Fin Homes Limited,133154125,39930365,29.99,93223760,0,0,0,,10/7/24 11:30,11511049,131998755,8.72,,10/7/24 11:30
Canara Bank,9070651260,5708548390,62.93,3362102870,0,0,0,,10/7/24 11:30,216354352,9038897305,2.39,,10/7/24 11:30
Cantabil Retail India Limited,83638040,61967295,74.09,21670745,0,0,0,,10/7/24 11:30,3193782,83638040,3.82,,10/7/24 11:30
Capacite Infraprojects Limited,84604043,26811478,31.69,57792565,12430000,46.36,14.69,,10/7/24 11:30,28280272,84604043,33.43,,10/7/24 11:30
Caplin Point Laboratories Limited,76010296,53632982,70.56,22377314,0,0,0,,10/7/24 11:30,2626172,75178051,3.49,,10/7/24 11:30
Capri Global Capital Limited,824939972,576511308,69.89,248428664,0,0,0,,10/7/24 11:30,13216552,824926622,1.6,,10/7/24 11:30
Carborundum Universal Limited,190257608,78309110,41.16,111948498,0,0,0,,10/7/24 11:30,2333114,189236785,1.23,,10/7/24 11:30
Career Point Limited,18192939,11585603,63.68,6607336,0,0,0,,10/7/24 11:30,567921,18192939,3.12,,10/7/24 11:30
Castrol India Limited,989122384,504452416,51,484669968,0,0,0,,10/7/24 11:30,37979075,984040304,3.86,,10/7/24 11:30
Celebrity Fashions Limited,56552074,19976325,35.32,36575749,14168540,70.93,25.05,,10/7/24 11:30,17287097,56551911,30.57,,10/7/24 11:30
Celestial Biolabs Limited,22586350,5888963,26.07,16697387,0,0,0,,10/7/24 11:30,281437,20205139,1.39,,10/7/24 11:30
Central Bank of India,8680939432,8080391687,93.08,600547745,0,0,0,,10/7/24 11:30,65632176,8680783690,0.76,,10/7/24 11:30
Centrum Capital Limited,416032740,175110812,42.09,240921928,43874250,25.06,10.55,,10/7/24 11:30,126933003,414478680,30.62,,10/7/24 11:30
Centum Electronics Limited,12896807,7576478,58.75,5320329,0,0,0,,10/7/24 11:30,645205,12822578,5.03,,10/7/24 11:30
Century Enka Limited,21850589,5433048,24.86,16417541,0,0,0,,10/7/24 11:30,961174,21437004,4.48,,10/7/24 11:30
Century Extrusions Limited,80000000,41628649,52.04,38371351,5636533,13.54,7.05,,10/7/24 11:30,6674207,79295340,8.42,,10/7/24 11:30
Century Plyboards (India) Limited,222172990,161282858,72.59,60890132,0,0,0,,10/7/24 11:30,1091561,221978297,0.49,,10/7/24 11:30
Century Textiles & Industries Limited,111695680,57330450,51.33,54365230,0,0,0,,10/7/24 11:30,5615938,111068054,5.06,,10/7/24 11:30
Cera Sanitaryware Limited,13005874,7085139,54.48,5920735,0,0,0,,10/7/24 11:30,118991,12788770,0.93,,10/7/24 11:30
Cerebra Integrated Technologies Limited,121186482,1017065,0.84,120169417,0,0,0,,10/7/24 11:30,7974053,114035673,6.99,,10/7/24 11:30
Chalet Hotels Limited,218100271,147262680,67.52,70837591,47023720,31.93,21.56,,10/7/24 11:30,48995732,218245933,22.45,,10/7/24 11:30
Chambal Fertilizers & Chemicals Limited,400652297,243211277,60.7,157441020,58865864,24.2,14.69,,10/7/24 11:30,57951121,389549462,14.88,,10/7/24 11:30
Chemcon Speciality Chemicals Limited,36630701,27277760,74.47,9352941,4730000,17.34,12.91,,10/7/24 11:30,1122378,36630701,3.06,,10/7/24 11:30
Chennai Petroleum Corporation Limited,148911400,100198100,67.29,48713300,0,0,0,,10/7/24 11:30,4841451,148105855,3.27,,10/7/24 11:30
Choice International Limited,199379000,116057000,58.21,83322000,13288000,11.45,6.66,,10/7/24 11:30,20487426,199279300,10.28,,10/7/24 11:30
Cholamandalam Financial Holdings Limited,187777462,88861939,47.32,98915523,17200,0.02,0.01,,10/7/24 11:30,1416852,187106251,0.76,,10/7/24 11:30
Cholamandalam Investment and Finance Company Limited,840241192,422877095,50.33,417364097,0,0,0,,10/7/24 11:30,3649801,839761080,0.43,,10/7/24 11:30
Cigniti Technologies Limited,27300084,8945295,32.77,18354789,0,0,0,,10/7/24 11:30,5181900,27291369,18.99,,10/7/24 11:30
Cineline India Limited,34266434,23849448,69.6,10416986,4300000,18.03,12.55,,10/7/24 11:30,10373271,34266284,30.27,,10/7/24 11:30
Cinevista Limited,57436475,38730177,67.43,18706298,0,0,0,,10/7/24 11:30,862952,56418945,1.53,,10/7/24 11:30
Cipla Limited,807517999,250498335,31.02,557019664,0,0,0,,10/7/24 11:30,6157757,801470085,0.77,,10/7/24 11:30
City Union Bank Limited,740671904,0,0,740671904,0,,0,,10/7/24 11:30,17831818,732479045,2.43,,10/7/24 11:30
Coal India Limited,6162728327,3890735938,63.13,2271992389,0,0,0,,10/7/24 11:30,40499218,6162725623,0.66,,10/7/24 11:30
Coffee Day Enterprises Limited,211251719,17340438,8.21,193911281,4994780,28.8,2.36,,10/7/24 11:30,24986812,211251477,11.83,,10/7/24 11:30
Coforge Limited,66693778,0,0,66693778,0,,0,,10/7/24 11:30,378696,66594373,0.57,,10/7/24 11:30
Colgate Palmolive (India) Limited,271985634,138712672,51,133272962,0,0,0,,10/7/24 11:30,2524666,269888115,0.94,,10/7/24 11:30
Compucom Software Limited,79125188,56087381,70.88,23037807,0,0,0,,10/7/24 11:30,889918,78841173,1.13,,10/7/24 11:30
Confidence Petroleum India Limited,332241043,185674735,55.89,146566308,9175000,4.94,2.76,,10/7/24 11:30,28985695,309114145,9.38,,10/7/24 11:30
Consolidated Construction Consortium Limited,398511188,248623057,62.39,149888131,0,0,0,,10/7/24 11:30,3312058,398177787,0.83,,10/7/24 11:30
Consolidated Finvest & Holdings Limited,32326366,24209039,74.89,8117327,0,0,0,,10/7/24 11:30,581827,32052878,1.82,,10/7/24 11:30
Container Corporation Of India Limited,609294348,333884975,54.8,275409373,0,0,0,,10/7/24 11:30,6833561,609293553,1.12,,10/7/24 11:30
Coral India Finance & Housing Limited,40302225,30226665,75,10075560,0,0,0,,10/7/24 11:30,326344,40249725,0.81,,10/7/24 11:30
Cords Cable Industries Limited,12927780,6712671,51.92,6215109,0,0,0,,10/7/24 11:30,194387,12926559,1.5,,10/7/24 11:30
Coromandel International Limited,294500579,168780040,57.31,125720539,12000,0.01,0,,10/7/24 11:30,1270212,291029245,0.44,,10/7/24 11:30
Country Condo's Limited,77597300,41797736,53.86,35799564,0,0,0,,10/7/24 11:30,524023,70869846,0.74,,10/7/24 11:30
Cox & Kings Financial Service Limited,72854454,37676844,51.72,35177610,12615400,33.48,17.32,,10/7/24 11:30,13472513,72852120,18.49,,10/7/24 11:30
Creative Eye Limited,20058250,11284832,56.26,8773418,0,0,0,,10/7/24 11:30,173413,19925373,0.87,,10/7/24 11:30
Crest Ventures Limited,28449775,19915867,70,8533908,0,0,0,,10/7/24 11:30,1866720,28417754,6.57,,10/7/24 11:30
Crompton Greaves Consumer Electricals Limited,643237607,0,0,643237607,0,,0,,10/7/24 11:30,5029909,640989836,0.78,,10/7/24 11:30
Cubex Tubings Limited,14318975,6360304,44.42,7958671,0,0,0,,10/7/24 11:30,154636,13699097,1.13,,10/7/24 11:30
Cummins India Limited,277200000,141372000,51,135828000,0,0,0,,10/7/24 11:30,2051166,275940621,0.74,,10/7/24 11:30
Cupid Limited,268354980,120216460,44.8,148138520,55669460,46.31,20.74,,10/7/24 11:30,42584180,267767560,15.9,,10/7/24 11:30
Cura Technologies Limited,9555000,2966784,31.05,6588216,2086364,70.32,21.84,,10/7/24 11:30,2086364,2748640,75.91,,10/7/24 11:30
Cyber Media (India) Limited,15667242,9680135,61.79,5987107,0,0,0,,10/7/24 11:30,215897,15460583,1.4,,10/7/24 11:30
Cybertech Systems And Software Limited,31130593,11339679,36.43,19790914,0,0,0,,10/7/24 11:30,497453,30573675,1.63,,10/7/24 11:30
Cyient Limited,110916004,26613562,23.99,84302442,0,0,0,,10/7/24 11:30,1531068,110464177,1.39,,10/7/24 11:30
D-Link (India) Limited,35504850,18114663,51.02,17390187,0,0,0,,10/7/24 11:30,1622246,35493100,4.57,,10/7/24 11:30
D.B.Corp Limited,178157492,128907483,72.36,49250009,0,0,0,,10/7/24 11:30,1271328,178157174,0.71,,10/7/24 11:30
DB (International) Stock Brokers Limited,35000000,12662370,36.18,22337630,6596867,52.1,18.85,,10/7/24 11:30,14754735,34986000,42.17,,10/7/24 11:30
DCB Bank Limited,313213555,46200234,14.75,267013321,0,0,0,,10/7/24 11:30,23563741,311691438,7.56,,10/7/24 11:30
DCM  Limited,18677749,9066634,48.54,9611115,0,0,0,,10/7/24 11:30,763181,18297790,4.17,,10/7/24 11:30
DCM Shriram Limited,155942296,105101391,67.4,50840905,0,0,0,,10/7/24 11:30,1142055,154539236,0.74,,10/7/24 11:30
DCW Limited,295155017,132398684,44.86,162756333,5142168,3.88,1.74,,10/7/24 11:30,37090115,293692107,12.63,,10/7/24 11:30
DELPHI WORLD MONEY LIMITED,11127890,8345920,75,2781970,0,0,0,,10/7/24 11:30,287629,10945834,2.63,,10/7/24 11:30
DIC India Limited,9178977,6586077,71.75,2592900,0,0,0,,10/7/24 11:30,129581,9115791,1.42,,10/7/24 11:30
DLF Limited,2475311706,1833634385,74.08,641677321,0,0,0,,10/7/24 11:30,27928702,2475034350,1.13,,10/7/24 11:30
DPSC Limited,973789640,579149295,59.47,394640345,389515856,67.26,40,,10/7/24 11:30,393740205,971999825,40.51,,10/7/24 11:30
DQ Entertainment (International) Limited,79282857,59462177,75,19820680,59461972,100,75,,10/7/24 11:30,60042802,79154373,75.86,,10/7/24 11:30
DS Kulkarni Developers Limited,10000000,9500000,95,500000,0,0,0,,10/7/24 11:30,122262,21552208,0.57,,10/7/24 11:30
Dabur India Limited,1772311381,1174000355,66.24,598311026,0,0,0,,10/7/24 11:30,8012589,1770375623,0.45,,10/7/24 11:30
Dalmia Bharat Limited,187547629,104731548,55.84,82816081,0,0,0,,10/7/24 11:30,6370061,186154167,3.42,,10/7/24 11:30
Dalmia Bharat Sugar and Industries Limited,80939303,60634122,74.91,20305181,0,0,0,,10/7/24 11:30,2290592,80180674,2.86,,10/7/24 11:30
Damodar Industries Limited,23300000,16399061,70.38,6900939,4940000,30.12,21.2,,10/7/24 11:30,5259176,23054065,22.81,,10/7/24 11:30
Datamatics Global Services Limited,59004030,39203076,66.44,19800954,0,0,0,,10/7/24 11:30,2093667,58982222,3.55,,10/7/24 11:30
Dcm Financial Services Limited,22125054,8739952,39.5,13385102,0,0,0,,10/7/24 11:30,104370,18505327,0.56,,10/7/24 11:30
De Nora India Limited,5308634,2849500,53.68,2459134,0,0,0,,10/7/24 11:30,243146,5254178,4.63,,10/7/24 11:30
Debock Industries Limited,162736115,15313000,9.41,147423115,0,0,0,,10/7/24 11:30,4531787,162736115,2.78,,10/7/24 11:30
Deccan Cements Limited,14007500,7878908,56.25,6128592,0,0,0,,10/7/24 11:30,237093,13881972,1.71,,10/7/24 11:30
Deepak Fertilizers And Petrochemicals Corporation Limited,126237825,57383775,45.46,68854050,12941000,22.55,10.25,,10/7/24 11:30,7159947,122791786,5.83,,10/7/24 11:30
Deepak Nitrite Limited,136393041,67158488,49.24,69234553,0,0,0,,10/7/24 11:30,3110054,136011331,2.29,,10/7/24 11:30
Delta Corp Limited,267771097,89050440,33.26,178720657,0,0,0,,10/7/24 11:30,37175565,266624757,13.94,,10/7/24 11:30
Delta Manufacturing Limited,10851120,7825574,72.12,3025546,0,0,0,,10/7/24 11:30,57478,10603290,0.54,,10/7/24 11:30
Den Networks Limited,477223845,357917883,75,119305962,0,0,0,,10/7/24 11:30,30328302,477041281,6.36,,10/7/24 11:30
Dev Information Technology Limited,22484679,15784010,70.2,6700669,0,0,0,,10/7/24 11:30,1240550,22484679,5.52,,10/7/24 11:30
Devyani International Limited,1206096378,756567190,62.73,449529188,0,0,0,,10/7/24 11:30,18186509,1206266373,1.51,,10/7/24 11:30
Dhampur Sugar Mills Limited,65387590,32115237,49.12,33272353,0,0,0,,10/7/24 11:30,5260101,65226035,8.06,,10/7/24 11:30
Dhani Services Limited,612147910,208028203,33.98,404119707,0,0,0,,10/7/24 11:30,69793138,603225308,11.57,,10/7/24 11:30
Dhanlaxmi Bank Limited,253012084,0,0,253012084,0,,0,,10/7/24 11:30,12753319,251033418,5.08,,10/7/24 11:30
Dhanuka Agritech Limited,45578324,31988876,70.18,13589448,0,0,0,,10/7/24 11:30,148992,44890496,0.33,,10/7/24 11:30
Dharani Sugars & Chemicals Limited,33200000,20436006,61.55,12763994,11032168,53.98,33.23,,10/7/24 11:30,11169046,31816821,35.1,,10/7/24 11:30
Dhunseri Investments Limited,6097178,4569999,74.95,1527179,0,0,0,,10/7/24 11:30,190298,5983445,3.18,,10/7/24 11:30
Dhunseri Tea & Industries Limited,10507427,7239289,68.9,3268138,0,0,0,,10/7/24 11:30,169420,10470969,1.62,,10/7/24 11:30
Dhunseri Ventures Limited,35024754,26268000,75,8756754,0,0,0,,10/7/24 11:30,678265,34886375,1.94,,10/7/24 11:30
DiGiSPICE Technologies Limited,232463106,169447570,72.89,63015536,0,0,0,,10/7/24 11:30,1246522,232054786,0.54,,10/7/24 11:30
Diamond Power Infrastructure Limited,52697106,47735097,90.58,4962009,307702,0.64,0.58,,10/7/24 11:30,391359,52688219,0.74,,10/7/24 11:30
Diligent Media Corporation Limited,117708018,73173769,62.17,44534249,8830306,12.07,7.5,,10/7/24 11:30,11605468,117629325,9.87,,10/7/24 11:30
Dilip Buildcon Limited,146214971,102571368,70.15,43643603,15918880,15.52,10.89,,10/7/24 11:30,21520803,146214871,14.72,,10/7/24 11:30
Dish TV India Limited,1841256154,74384968,4.04,1766871186,8689621,11.68,0.47,,10/7/24 11:30,242814936,1840952637,13.19,,10/7/24 11:30
Divi's Laboratories Limited,265468580,137772090,51.9,127696490,0,0,0,,10/7/24 11:30,1938932,265384169,0.73,,10/7/24 11:30
Dixon Technologies (India) Limited,59835095,19891580,33.24,39943515,0,0,0,,10/7/24 11:30,723084,59836480,1.21,,10/7/24 11:30
Donear Industries Limited,52000000,38772034,74.56,13227966,0,0,0,,10/7/24 11:30,470285,51985474,0.9,,10/7/24 11:30
Dr. Reddy's Laboratories Limited,166829701,44745442,26.82,122084259,0,0,0,,10/7/24 11:30,1118954,166534690,0.67,,10/7/24 11:30
Dredging Corporation of India Limited,28000000,20572013,73.47,7427987,0,0,0,,10/7/24 11:30,538757,27998655,1.92,,10/7/24 11:30
Ducon Infratechnologies Limited,259940469,135084665,51.97,124855804,0,0,0,,10/7/24 11:30,3015945,259624130,1.16,,10/7/24 11:30
Dwarikesh Sugar Industries Limited,185301470,77999712,42.09,107301758,0,0,0,,10/7/24 11:30,18747776,185056830,10.13,,10/7/24 11:30
Dynacons Systems & Solutions Limited,12713130,7755654,61.01,4957476,0,0,0,,10/7/24 11:30,246623,12682550,1.94,,10/7/24 11:30
Dynamatic Technologies Limited,6791443,2843245,41.87,3948198,0,0,0,,10/7/24 11:30,280522,6741450,4.16,,10/7/24 11:30
EID Parry India Limited,177517591,74968790,42.23,102548801,11000,0.01,0.01,,10/7/24 11:30,12785265,176218111,7.26,,10/7/24 11:30
EIH Associated Hotels Limited,30468147,22850316,75,7617831,0,0,0,,10/7/24 11:30,361398,60834283,0.59,,10/7/24 11:30
EIH Limited,625364182,205422637,32.85,419941545,0,0,0,,10/7/24 11:30,8802007,621967877,1.42,,10/7/24 11:30
EPL Limited,318378882,163974166,51.5,154404716,0,0,0,,10/7/24 11:30,8411740,317381805,2.65,,10/7/24 11:30
Eastern Silk Industries Limited,78952620,40488351,51.28,38464269,40488351,100,51.28,,10/7/24 11:30,40953900,77840411,52.61,,10/7/24 11:30
Eastern Sug & Inds Limited,60483603,57458654,95,3024949,0,0,0,,10/7/24 11:30,38068,14071800,0.27,,10/7/24 11:30
Easun Reyrolle Limited,30794141,11093784,36.03,19700357,0,0,0,,10/7/24 11:30,409857,30417164,1.35,,10/7/24 11:30
Edelweiss Financial Services Limited,943864573,354066270,37.51,589798303,0,0,0,,10/7/24 11:30,67416430,943633668,7.14,,10/7/24 11:30
Educomp Solutions Limited,122467168,54838245,44.78,67628923,51771578,94.41,42.27,,10/7/24 11:30,54624065,122463337,44.6,,10/7/24 11:30
Eicher Motors Limited,274010515,134565087,49.11,139445428,0,0,0,,10/7/24 11:30,1366974,272337750,0.5,,10/7/24 11:30
Eimco Elecon (India) Limited,5768385,4271795,74.06,1496590,0,0,0,,10/7/24 11:30,64854,5717734,1.13,,10/7/24 11:30
Elecon Engineering Company Limited,112199965,66506058,59.27,45693907,0,0,0,,10/7/24 11:30,2114460,21434923,9.86,,10/7/24 11:30
